Código de Serviço;Descrição do Serviço (TI-IDEAL);Serviço Correspondente (Tabela IR Fonte);% IR Fonte;Fundamento Legal;Sujeito à Retenção de IR?
01.01.01;análise de sistemas;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.01.02;desenvolvimento de sistemas;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.01.04;geração de programa de computador sob encomenda;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.02.01;programação;Programação;1,50%;art. 647 RIR/1999;SIM
01.03.08;processamento de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.03.09;armazenamento ou hospedagem de dados, textos, imagens, vídeos, páginas eletrônicas, aplicativos ou sistemas de informação, entre outros formatos, e congêneres;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.04.01;elaboração de programa de computadores;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.04.03;elaboração de programa de computador sob encomenda, não derivado de software preexistente, cujo desenvolvimento se dê integralmente no Brasil e cujos direitos autorais permaneçam reservados ao contratante do serviço, desde que atendidos os demais requisitos previstos no art. 8° da Instrução Normativa SMF n° 16, de 02 de julho de 2012;Ensino;1,50%;art. 647 RIR/1999;SIM
01.05.01;licenciamento de uso de programa de computação;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.05.02;cessão de direito de uso de programa de computação;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.06.01;assessoria ou consultoria em informática;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.07.01;suporte técnico em informática;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.07.02;instalação e/ou configuração de programa de computação e/ou banco de dados;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.07.03;manutenção de programa de computação e/ou banco de dados;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.07.04;customização de programa de computador;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
01.08.01;projeto de páginas eletrônicas;Informática - treinamento, consultoria, implantação e desenvolvimento de sistemas;1,50%;SC n° 75/2005 - 1° RF;SIM
